Active School Zone Flag,Crash Severity,Crash Time,Day of Week,Roadway Part,Speed Limit,Surface Condition,Person Helmet,Hour,Minute,Crash Severity Binary,Person Helmet Binary
0,Incapacitating Injury,2:39,0,1,45,0,"Worn, Damaged",2,39,1,1
0,Non-Incapacitating Injury,3:10,0,1,35,0,Not Worn,3,10,1,0
0,Non-Incapacitating Injury,3:10,0,1,35,0,Not Worn,3,10,1,0
0,Non-Incapacitating Injury,3:10,0,1,35,0,Not Worn,3,10,1,0
0,Non-Incapacitating Injury,23:00,1,1,45,0,Not Worn,23,0,1,0
0,Non-Incapacitating Injury,14:08,6,1,15,6,Not Worn,14,8,1,0
0,Non-Incapacitating Injury,17:15,4,1,35,0,"Worn, Unk Damage",17,15,1,1
0,Non-Incapacitating Injury,18:26,5,1,30,0,Not Worn,18,26,1,0
0,Possible Injury,21:04,4,1,40,6,Not Worn,21,4,1,0
0,Possible Injury,18:14,6,3,50,0,Unknown If Worn,18,14,1,0
0,Non-Incapacitating Injury,11:24,2,1,55,0,"Worn, Not Damaged",11,24,1,1
0,Non-Incapacitating Injury,16:05,2,3,35,0,Not Worn,16,5,1,0
0,Possible Injury,17:39,5,3,55,0,Not Worn,17,39,1,0
0,Non-Incapacitating Injury,14:35,6,2,15,0,Not Worn,14,35,1,0
0,Non-Incapacitating Injury,16:18,6,1,30,0,Not Worn,16,18,1,0
0,Possible Injury,4:39,0,1,35,6,Not Worn,4,39,1,0
0,Non-Incapacitating Injury,17:42,0,1,40,0,Not Worn,17,42,1,0
0,Non-Incapacitating Injury,16:51,0,1,35,0,Not Worn,16,51,1,0
0,Incapacitating Injury,7:22,6,1,35,5,Not Worn,7,22,1,0
0,Possible Injury,7:58,0,1,30,0,Not Worn,7,58,1,0
0,Possible Injury,16:58,1,1,35,0,Not Worn,16,58,1,0
0,Non-Incapacitating Injury,13:15,2,1,15,0,Not Worn,13,15,1,0
0,Non-Incapacitating Injury,12:16,3,1,45,0,Not Worn,12,16,1,0
0,Incapacitating Injury,19:45,3,1,35,0,Not Worn,19,45,1,0
0,Non-Incapacitating Injury,11:26,0,1,30,6,Not Worn,11,26,1,0
0,Non-Incapacitating Injury,18:40,2,1,40,0,Not Worn,18,40,1,0
