Active School Zone Flag,Crash Severity,Crash Time,Day of Week,Roadway Part,Speed Limit,Surface Condition,Person Helmet,Hour,Minute,Crash Severity Binary,Person Helmet Binary
No,Incapacitating Injury,2:39,Friday,Main/Proper Lane,45,Dry,"Worn, Damaged",2,39,1,Wear
No,Non-Incapacitating Injury,3:10,Friday,Main/Proper Lane,35,Dry,Not Worn,3,10,1,Not Wear
No,Non-Incapacitating Injury,3:10,Friday,Main/Proper Lane,35,Dry,Not Worn,3,10,1,Not Wear
No,Non-Incapacitating Injury,3:10,Friday,Main/Proper Lane,35,Dry,Not Worn,3,10,1,Not Wear
No,Non-Incapacitating Injury,23:00,Monday,Main/Proper Lane,45,Dry,Not Worn,23,0,1,Not Wear
No,Non-Incapacitating Injury,14:08,Wednesday,Main/Proper Lane,15,Wet,Not Worn,14,8,1,Not Wear
No,Non-Incapacitating Injury,17:15,Thursday,Main/Proper Lane,35,Dry,"Worn, Unk Damage",17,15,1,Wear
No,Non-Incapacitating Injury,18:26,Tuesday,Main/Proper Lane,30,Dry,Not Worn,18,26,1,Not Wear
No,Possible Injury,21:04,Thursday,Main/Proper Lane,40,Wet,Not Worn,21,4,1,Not Wear
No,Possible Injury,18:14,Wednesday,Service/Frontage Road,50,Dry,Unknown If Worn,18,14,1,Not Wear
No,Non-Incapacitating Injury,11:24,Saturday,Main/Proper Lane,55,Dry,"Worn, Not Damaged",11,24,1,Wear
No,Non-Incapacitating Injury,16:05,Saturday,Service/Frontage Road,35,Dry,Not Worn,16,5,1,Not Wear
No,Possible Injury,17:39,Tuesday,Service/Frontage Road,55,Dry,Not Worn,17,39,1,Not Wear
No,Non-Incapacitating Injury,14:35,Wednesday,Other (Explain In Narrative),15,Dry,Not Worn,14,35,1,Not Wear
No,Non-Incapacitating Injury,16:18,Wednesday,Main/Proper Lane,30,Dry,Not Worn,16,18,1,Not Wear
No,Possible Injury,4:39,Friday,Main/Proper Lane,35,Wet,Not Worn,4,39,1,Not Wear
No,Non-Incapacitating Injury,17:42,Friday,Main/Proper Lane,40,Dry,Not Worn,17,42,1,Not Wear
No,Non-Incapacitating Injury,16:51,Friday,Main/Proper Lane,35,Dry,Not Worn,16,51,1,Not Wear
